"","when_began_current"
"1537","2017"
"1538","1995"
"1539","1995"
"1540","2011"
"1541","1994"
"1542","1994"
"1543","1994"
"1544","2016"
"1545","1978"
"1546","2011"
"1547","2011"
"1548","1981"
"1549","2017"
"1550","2017"
"1551","2017"
"1552","1981"
"1553","2010"
"1554","2010"
"1555","2019"
"1556","2019"
"1557","2017"
"1558","2017"
"1559","2017"
"1560","2022"
"1561","2019"
"1562","2019"
"1563","1995"
"1564","1995"
"1565","1995"
"1566","1995"
"1567","1995"
"1568","1977"
"1569","1977"
"1570","2019"
"1571","2019"
"1572","2005"
"1573","2005"
"1574","2005"
"1575","2005"
"1576","1994"
"1577","1994"
"1578","1983"
"1579","2005"
"1580","2017"
"1581","2017"
"1582","2017"
"1583","2010"
"1584","2010"
"1585","1999"
"1586","1999"
"1587","2021"
"1588","2021"
"1589","2021"
"1590","15"
"1591","15"
"1592","0"
"1593","0"
"1594","2012"
"1595","2012"
"1596","1993"
"1597","1986"
"1598","2014"
"1599","2014"
"1600","2017"
"1601","2017"
"1602","2014"
"1603","2014"
"1604","2019"
"1605","2023"
"1606","2023"
"1607","2023"
"1608","2004"
"1609","2004"
"1610","1984"
"1611","1984"
"1612","1991"
"1613","1991"
"1614","1991"
"1615","1991"
"1616","1991"
"1617","1991"
"1618","2012"
"1619","2012"
"1620","1999"
"1621","1999"
"1622","2012"
"1623","2012"
"1624","1999"
"1625","1999"
"1626","1986"
"1627","1986"
"1628","1994"
"1629","1994"
"1630","1994"
"1631","1994"
"1632","1994"
"1633","1994"
"1634","1994"
"1635","1994"
"1636","1994"
"1637","1994"
"1638","1997"
"1639","2012"
"1640","2012"
"1641","2012"
"1642","2012"
"1643","2012"
"1644","1993"
"1645","1993"
"1646","2016"
"1647","2000"
"1648","1982"
"1649","1985"
"1650","1985"
"1651","2004"
"1652","1996"
"1653","1996"
"1654","1996"
"1655","1999"
"1656","1999"
"1657","1999"
"1658","1984"
"1659","2000"
"1660","2000"
"1661","1990"
"1662","1990"
"1663","2017"
"1664","1974"
"1665","1974"
"1666","2017"
"1667","2017"
"1668","2013"
"1669","2013"
"1670","1986"
"1671","1986"
"1672","1986"
"1673","1986"
"1674","1986"
"1675","2015"
"1676","1986"
"1677","1986"
"1678","1986"
"1679","1986"
"1680","1986"
"1681","1996"
"1682","1996"
"1683","2021"
"1684","2021"
"1685","2021"
"1686","2003"
"1687","2003"
"1688","2012"
"1689","2012"
"1690","1995"
"1691","1995"
"1692","2003"
"1693","2006"
"1694","1988"
"1695","1988"
"1696","2018"
"1697","2014"
"1698","2014"
"1699","2014"
"1700","2014"
"1701","2010"
"1702","2003"
"1703","2003"
"1704","1996"
"1705","1996"
"1706","1996"
"1707","2011"
"1708","2011"
"1709","2011"
"1710","2018"
"1711","2018"
"1712","2018"
"1713","2018"
"1714","2014"
"1715","2014"
"1716","2014"
"1717","2014"
"1718","2012"
"1719","2012"
"1720","2012"
"1721","2012"
"1722","2021"
"1723","2021"
"1724","2008"
"1725","2007"
"1726","2007"
"1727","2003"
"1728","2003"
"1729","2016"
"1730","0"
"1731","0"
"1732","2008"
"1733","2017"
"1734","2017"
"1735","1999"
"1736","1999"
"1737","1993"
"1738","1993"
"1739","2007"
"1740","2007"
"1741","2015"
"1742","2015"
"1743","1985"
"1744","1985"
"1745","2001"
"1746","1995"
"1747","2020"
"1748","2019"
"1749","2019"
"1750","2019"
"1751","2019"
"1752","2023"
"1753","2020"
"1754","2011"
"1755","1989"
"1756","1997"
"1757","1997"
"1758","2015"
"1759","2015"
"1760","2015"
"1761","2010"
"1762","1980"
"1763","1980"
"1764","1969"
"1765","1969"
"1766","1969"
"1767","1969"
"1768","1986"
"1769","1989"
"1770","1987"
"1771","1987"
"1772","1997"
"1773","1997"
"1774","1999"
"1775","1999"
"1776","1999"
"1777","2006"
"1778","2006"
"1779","2022"
"1780","2022"
"1781","2022"
"1782","2022"
"1783","2022"
"1784","2017"
"1785","2000"
"1786","2000"
"1787","1980"
"1788","1975"
"1789","1975"
"1790","1995"
"1791","1987"
"1792","1987"
"1793","1987"
"1794","1987"
"1795","3"
"1796","1994"
"1797","1994"
"1798","2006"
